Module_Name,Mean_Squared_Error,Standard_Deviation,Average of Differences,Predicted_Startup_Price
XGBoost,8.258106835,4.384735636,6873.932969,154347.34
Decision Tree,27.54029325,5.665983491,5166.132,155752.6
Multiple Linear,7.267458158,5.972899135,7514.29366,157567.0167
SVR,7.044518036,5.754749337,8610.34356,158403.2642
Random Forest,9.423100417,6.941098892,5210.15776,151945.635
Linear Regression,,,7514.29366,157567.0167
Polynominal Regression,,,9298.882529,159554.3347
ANN,,,7076.528594,164052.12
ANN,,,7076.528593750003,164052.12
Random Forest,9.423100417484951,6.941098892484962,5210.157760000012,151945.63499999998
Random Forest,9.423100417484951,6.941098892484962,5210.157760000012,151945.63499999998
XGBoost,8.258106834725515,4.384735635682895,6873.932968750001,154347.34
SVR,7.044518035884176,5.754749337070649,8610.343559820492,158403.26421350404
Linear Regression,,,7514.293659640614,157567.0166805206
Polynominal Regression,,,9298.88252939316,159554.33471798734
Decision Tree,27.540293252601337,5.665983490907453,5166.132000000005,155752.6
Multiple Linear,7.26745815846201,5.972899135111199,7514.293659640614,157567.0166805206
